Route Name,Method,URL,Output Variable Name,Variable Type,Example,Source
Send Phone OTP,POST,{{baseUrl}}/auth/phone/send,phoneNumber,string,+1234567890,Inferred from Request
Verify Phone OTP,POST,{{baseUrl}}/auth/phone/verify,sessionInfo,string,session-info-from-send-otp-response,Inferred from Request
Verify Phone OTP,POST,{{baseUrl}}/auth/phone/verify,code,string,123456,Inferred from Request
Verify Firebase Token,POST,{{baseUrl}}/auth/verify,idToken,string,{{firebaseToken}},Inferred from Request
Get Current User,GET,{{baseUrl}}/auth/me,N/A,N/A,N/A,No Example
Logout,POST,{{baseUrl}}/auth/logout,N/A,N/A,N/A,No Example
Health Check,GET,{{baseUrl}}/health,success,boolean,True,API Docs
Health Check,GET,{{baseUrl}}/health,message,string,Saarthi Clinical Platform is running,API Docs
Health Check,GET,{{baseUrl}}/health,timestamp,string,2025-11-30T10:00:00.000Z,API Docs
Health Check,GET,{{baseUrl}}/health,environment,string,development,API Docs
Health Check,GET,{{baseUrl}}/health,services.database,boolean,True,API Docs
Health Check,GET,{{baseUrl}}/health,services.storage,boolean,True,API Docs
Health Check,GET,{{baseUrl}}/health,services.cache,boolean,True,API Docs
Health Check,GET,{{baseUrl}}/health,services.gemini,boolean,True,API Docs
Database Diagnostic,GET,{{baseUrl}}/health/db,N/A,N/A,N/A,No Example
Create Patient,POST,{{baseUrl}}/patients,success,boolean,True,API Docs
Create Patient,POST,{{baseUrl}}/patients,data.id,string,pt_abc123,API Docs
Create Patient,POST,{{baseUrl}}/patients,data.name,string,John Doe,API Docs
Create Patient,POST,{{baseUrl}}/patients,data.age,integer,65,API Docs
Create Patient,POST,{{baseUrl}}/patients,data.gender,string,male,API Docs
Create Patient,POST,{{baseUrl}}/patients,data.caregiver_name,string,Jane Doe,API Docs
Create Patient,POST,{{baseUrl}}/patients,data.caregiver_relation,string,daughter,API Docs
Create Patient,POST,{{baseUrl}}/patients,data.caregiver_contact,string,+91-9999999999,API Docs
Create Patient,POST,{{baseUrl}}/patients,data.status,string,active,API Docs
Create Patient,POST,{{baseUrl}}/patients,data.created_at,integer,1638360000,API Docs
Create Patient,POST,{{baseUrl}}/patients,data.updated_at,integer,1638360000,API Docs
List Patients,GET,{{baseUrl}}/patients?limit=20&status=active,N/A,N/A,N/A,No Example
Get Patient by ID,GET,{{baseUrl}}/patients/{{patientId}},success,boolean,True,API Docs
Get Patient by ID,GET,{{baseUrl}}/patients/{{patientId}},data.id,string,pt_abc123,API Docs
Get Patient by ID,GET,{{baseUrl}}/patients/{{patientId}},data.name,string,John Doe,API Docs
Get Patient by ID,GET,{{baseUrl}}/patients/{{patientId}},data.age,integer,65,API Docs
Get Patient by ID,GET,{{baseUrl}}/patients/{{patientId}},data.gender,string,male,API Docs
Get Patient by ID,GET,{{baseUrl}}/patients/{{patientId}},data.caregiver_name,string,Jane Doe,API Docs
Get Patient by ID,GET,{{baseUrl}}/patients/{{patientId}},data.caregiver_relation,string,daughter,API Docs
Get Patient by ID,GET,{{baseUrl}}/patients/{{patientId}},data.caregiver_contact,string,+91-9999999999,API Docs
Get Patient by ID,GET,{{baseUrl}}/patients/{{patientId}},data.status,string,active,API Docs
Get Patient by ID,GET,{{baseUrl}}/patients/{{patientId}},data.created_at,integer,1638360000,API Docs
Get Patient by ID,GET,{{baseUrl}}/patients/{{patientId}},data.updated_at,integer,1638360000,API Docs
Update Patient,PATCH,{{baseUrl}}/patients/{{patientId}},age,integer,69,Inferred from Request
Update Patient,PATCH,{{baseUrl}}/patients/{{patientId}},caregiver.contact,string,+91-8888888888,Inferred from Request
Delete Patient (Archive),DELETE,{{baseUrl}}/patients/{{patientId}},success,boolean,True,API Docs
Delete Patient (Archive),DELETE,{{baseUrl}}/patients/{{patientId}},message,string,Patient deleted successfully,API Docs
Upload Documents,POST,{{baseUrl}}/patients/{{patientId}}/documents,N/A,N/A,N/A,No Example
List Documents,GET,{{baseUrl}}/patients/{{patientId}}/documents,N/A,N/A,N/A,No Example
Get Document,GET,{{baseUrl}}/patients/{{patientId}}/documents/{{documentId}},success,boolean,True,API Docs
Get Document,GET,{{baseUrl}}/patients/{{patientId}}/documents/{{documentId}},data.id,string,doc_123,API Docs
Get Document,GET,{{baseUrl}}/patients/{{patientId}}/documents/{{documentId}},data.filename,string,pathology_report.pdf,API Docs
Get Document,GET,{{baseUrl}}/patients/{{patientId}}/documents/{{documentId}},data.document_type,string,pathology,API Docs
Get Document,GET,{{baseUrl}}/patients/{{patientId}}/documents/{{documentId}},data.processing_status,string,completed,API Docs
Get Document,GET,{{baseUrl}}/patients/{{patientId}}/documents/{{documentId}},data.medical_highlight,string,Biopsy confirms invasive ductal carcinoma...,API Docs
Get Document,GET,{{baseUrl}}/patients/{{patientId}}/documents/{{documentId}},data.created_at,integer,1638360000,API Docs
Download Document,GET,{{baseUrl}}/patients/{{patientId}}/documents/{{documentId}}/download,success,boolean,True,API Docs
Download Document,GET,{{baseUrl}}/patients/{{patientId}}/documents/{{documentId}}/download,message,string,Document deleted successfully,API Docs
Delete Document,DELETE,{{baseUrl}}/patients/{{patientId}}/documents/{{documentId}},N/A,N/A,N/A,No Example
Semantic Search,POST,{{baseUrl}}/patients/{{patientId}}/documents/search,query,string,What are the tumor markers?,Inferred from Request
Semantic Search,POST,{{baseUrl}}/patients/{{patientId}}/documents/search,top_k,integer,5,Inferred from Request
Reorder Case-Pack Documents,POST,{{baseUrl}}/patients/{{patientId}}/documents/reorder,document_orders[].document_id,string,doc_123,Inferred from Request
Reorder Case-Pack Documents,POST,{{baseUrl}}/patients/{{patientId}}/documents/reorder,document_orders[].order,integer,1,Inferred from Request
Bulk Reprocess Documents,POST,{{baseUrl}}/patients/{{patientId}}/documents/reprocess,process_mode,string,full,Inferred from Request
Bulk Reprocess Documents,POST,{{baseUrl}}/patients/{{patientId}}/documents/reprocess,provider,string,gemini,Inferred from Request
Reprocess Document,POST,{{baseUrl}}/patients/{{patientId}}/documents/{{documentId}}/reprocess,process_mode,string,full,Inferred from Request
Reprocess Document,POST,{{baseUrl}}/patients/{{patientId}}/documents/{{documentId}}/reprocess,provider,string,gemini,Inferred from Request
Process Document (Gemini),POST,{{baseUrl}}/patients/{{patientId}}/processing/documents/{{documentId}}/process?provider=gemini,mode,string,incremental,Inferred from Request
Process Document (OpenAI),POST,{{baseUrl}}/patients/{{patientId}}/processing/documents/{{documentId}}/process?provider=openai,mode,string,incremental,Inferred from Request
Get Processing Status,GET,{{baseUrl}}/patients/{{patientId}}/processing/status,success,boolean,True,API Docs
Get Processing Status,GET,{{baseUrl}}/patients/{{patientId}}/processing/status,data.pending,integer,2,API Docs
Get Processing Status,GET,{{baseUrl}}/patients/{{patientId}}/processing/status,data.processing,integer,1,API Docs
Get Processing Status,GET,{{baseUrl}}/patients/{{patientId}}/processing/status,data.completed,integer,5,API Docs
Get Processing Status,GET,{{baseUrl}}/patients/{{patientId}}/processing/status,data.failed,integer,0,API Docs
Get Processing Log,GET,{{baseUrl}}/patients/{{patientId}}/processing/log?limit=10,N/A,N/A,N/A,No Example
Get Diagnosis,GET,{{baseUrl}}/patients/{{patientId}}/diagnosis,N/A,N/A,N/A,No Example
Create/Update Diagnosis,PUT,{{baseUrl}}/patients/{{patientId}}/diagnosis,primary_cancer_type,string,Breast Cancer,Inferred from Request
Create/Update Diagnosis,PUT,{{baseUrl}}/patients/{{patientId}}/diagnosis,primary_cancer_subtype,string,Invasive Ductal Carcinoma,Inferred from Request
Create/Update Diagnosis,PUT,{{baseUrl}}/patients/{{patientId}}/diagnosis,diagnosis_date,string,2024-01-15,Inferred from Request
Create/Update Diagnosis,PUT,{{baseUrl}}/patients/{{patientId}}/diagnosis,tumor_location,string,"Upper outer quadrant, left breast",Inferred from Request
Create/Update Diagnosis,PUT,{{baseUrl}}/patients/{{patientId}}/diagnosis,tumor_laterality,string,left,Inferred from Request
Create/Update Diagnosis,PUT,{{baseUrl}}/patients/{{patientId}}/diagnosis,tumor_size_cm,float,2.5,Inferred from Request
Create/Update Diagnosis,PUT,{{baseUrl}}/patients/{{patientId}}/diagnosis,tumor_grade,string,G2,Inferred from Request
Create/Update Diagnosis,PUT,{{baseUrl}}/patients/{{patientId}}/diagnosis,histology,string,Ductal carcinoma,Inferred from Request
Create/Update Diagnosis,PUT,{{baseUrl}}/patients/{{patientId}}/diagnosis,biomarkers.ER,string,positive,Inferred from Request
Create/Update Diagnosis,PUT,{{baseUrl}}/patients/{{patientId}}/diagnosis,biomarkers.PR,string,positive,Inferred from Request
Create/Update Diagnosis,PUT,{{baseUrl}}/patients/{{patientId}}/diagnosis,biomarkers.HER2,string,negative,Inferred from Request
Get Staging,GET,{{baseUrl}}/patients/{{patientId}}/staging,N/A,N/A,N/A,No Example
Create/Update Staging,PUT,{{baseUrl}}/patients/{{patientId}}/staging,clinical_t,string,cT2,Inferred from Request
Create/Update Staging,PUT,{{baseUrl}}/patients/{{patientId}}/staging,clinical_n,string,cN1,Inferred from Request
Create/Update Staging,PUT,{{baseUrl}}/patients/{{patientId}}/staging,clinical_m,string,cM0,Inferred from Request
Create/Update Staging,PUT,{{baseUrl}}/patients/{{patientId}}/staging,pathological_t,string,pT2,Inferred from Request
Create/Update Staging,PUT,{{baseUrl}}/patients/{{patientId}}/staging,pathological_n,string,pN1,Inferred from Request
Create/Update Staging,PUT,{{baseUrl}}/patients/{{patientId}}/staging,pathological_m,string,pM0,Inferred from Request
